Date,Stock_name,Open,High,Low,Close,Adj_Close,Volume
2021-07-20,AAPL,143.46,147.1,142.96,146.15,142.45998,96350000
2021-07-20,MSFT,278.03,280.97,276.26,279.32,268.0625,26259700
2021-07-20,SPY,425.68,432.42,424.83,431.06,402.882,99608200
2021-07-21,AAPL,145.53,146.13,144.63,145.4,141.72893,74993504
2021-07-21,MSFT,278.9,281.52,277.29,281.4,270.0586,24364300
2021-07-21,SPY,432.34,434.7,431.01,434.55,406.14377,64724400
2021-07-22,AAPL,145.94,148.2,145.81,146.8,143.09357,77338200
2021-07-22,MSFT,283.84,286.42,283.42,286.14,274.60767,23384100
2021-07-22,SPY,434.74,435.72,433.69,435.46,406.99426,47878500
2021-07-23,AAPL,147.55,148.72,146.92,148.56,144.80911,71447400
2021-07-23,MSFT,287.37,289.99,286.5,289.67,277.99533,22768100
2021-07-23,SPY,437.52,440.3,436.79,439.94,411.1814,63766600
2021-07-26,AAPL,148.27,149.83,147.7,148.99,145.22829,72434096
2021-07-26,MSFT,289,289.69,286.64,289.05,277.40036,23176100
2021-07-26,SPY,439.31,441.03,439.26,441.02,412.1909,43719200
2021-07-27,AAPL,149.12,149.21,145.55,146.77,143.06433,104818600
2021-07-27,MSFT,289.43,289.58,282.95,286.54,274.99155,33604100
2021-07-27,SPY,439.91,439.94,435.99,439.01,410.31223,67397104
2021-07-28,AAPL,144.81,146.97,142.54,144.98,141.3195,118931200
2021-07-28,MSFT,288.99,290.15,283.83,286.22,274.6844,33566900
2021-07-28,SPY,439.68,440.3,437.31,438.83,410.14404,52472400
2021-07-29,AAPL,144.69,146.55,144.58,145.64,141.96284,56699500
2021-07-29,MSFT,286.24,288.62,286.08,286.5,274.95306,18168300
2021-07-29,SPY,439.82,441.8,439.81,440.65,411.8451,47435300
2021-07-30,AAPL,144.38,146.33,144.11,145.86,142.1773,70440600
2021-07-30,MSFT,285.17,286.66,283.91,284.91,273.42712,20944800
2021-07-30,SPY,437.91,440.06,437.77,438.51,409.84494,68951200
2021-08-02,AAPL,146.36,146.95,145.25,145.52,141.8459,62880000
2021-08-02,MSFT,286.36,286.77,283.74,284.82,273.34085,16267400
2021-08-02,SPY,440.34,440.93,437.21,437.59,408.98508,58783300
2021-08-03,AAPL,145.81,148.04,145.18,147.36,143.63948,64786600
2021-08-03,MSFT,285.42,287.23,284,287.12,275.54813,17879000
2021-08-03,SPY,438.44,441.28,436.1,441.15,412.31232,58053900
2021-08-04,AAPL,147.27,147.79,146.28,146.95,143.23979,56368300
2021-08-04,MSFT,286.22,287.59,284.65,286.51,274.96274,16191300
2021-08-04,SPY,439.78,441.12,438.73,438.98,410.28418,46732200
2021-08-05,AAPL,146.98,147.84,146.17,147.06,143.34703,46397700
2021-08-05,MSFT,286.88,289.63,286.1,289.52,277.8514,13900200
2021-08-05,SPY,440.22,441.85,439.88,441.76,412.88248,38969700
2021-08-06,AAPL,146.35,147.11,145.63,146.14,142.66367,54126800
2021-08-06,MSFT,288.51,289.5,287.62,289.46,277.7938,16589300
2021-08-06,SPY,442.1,442.94,441.8,442.49,413.56476,46930000
2021-08-09,AAPL,146.2,146.7,145.52,146.09,142.61487,48908700
